City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
378,Ribeira Grande,PT,38.5167,-28.7,63.77,82,81,4.0,broken clouds
379,Lastoursville,GA,-0.8143,12.7287,71.01,99,77,1.48,broken clouds
380,Gravdal,NO,68.1214,13.5031,35.49,93,0,6.91,clear sky
381,Nara,JP,34.6851,135.8049,50.92,71,21,2.59,few clouds
382,Kahului,US,20.8947,-156.47,86.02,63,40,20.71,scattered clouds
383,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,90,98,25.23,overcast clouds
384,Along,IN,28.1667,94.7667,55.27,69,65,1.1,broken clouds
385,Sterlitamak,RU,53.6246,55.9502,23.56,92,100,15.23,light snow
386,Kati,ML,12.7441,-8.0726,76.41,59,96,0.81,overcast clouds
387,Harlingen,US,26.1906,-97.6961,84.29,78,0,10.36,clear sky
388,Havre-Saint-Pierre,CA,50.2334,-63.5986,27.3,75,100,13.91,overcast clouds
389,Kalmunai,LK,7.4167,81.8167,76.14,85,100,3.09,overcast clouds
390,Marystown,CA,47.1666,-55.1483,41.47,76,95,33.11,overcast clouds
391,Salalah,OM,17.0151,54.0924,73.49,56,0,3.44,clear sky
392,Plettenberg Bay,ZA,-34.0527,23.3716,71.96,47,89,9.01,overcast clouds
393,Shache,CN,38.4167,77.2406,35.55,38,1,2.53,clear sky
394,Sola,VU,-13.8833,167.55,80.67,70,0,2.24,clear sky
395,Lesnoy,RU,57.6198,63.0784,15.8,91,100,13.73,overcast clouds
396,Zaozerne,UA,45.1582,33.2787,44.74,74,95,11.86,overcast clouds
397,Steinfurt,DE,52.1505,7.3366,47.89,87,35,8.68,scattered clouds
398,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,24.16,scattered clouds
399,Forbesganj,IN,26.3,87.25,63.46,60,0,4.36,clear sky
400,Port Macquarie,AU,-31.4333,152.9167,77.9,44,0,2.28,clear sky
401,Camacha,PT,33.0833,-16.3333,63.82,88,20,2.3,few clouds
402,New Glasgow,CA,45.5834,-62.6486,40.78,84,94,16.17,light rain
403,Tuzha,RU,57.6062,47.936,23.05,71,100,13.58,overcast clouds
404,Lulea,SE,65.5842,22.1547,26.67,93,12,9.22,few clouds
405,Rio Gallegos,AR,-51.6226,-69.2181,66.38,34,80,19.19,broken clouds
406,Barbacena,BR,-21.2258,-43.7736,64.29,95,100,4.47,overcast clouds
407,Quesnel,CA,52.9999,-122.5029,23.5,93,100,3.44,mist
408,Armidale,AU,-30.5167,151.65,60.37,56,1,7.47,clear sky
409,Yumen,CN,40.2833,97.2,34.75,24,91,17.96,overcast clouds
410,Ibotirama,BR,-12.1853,-43.2206,75.42,79,79,3.83,broken clouds
411,Coahuayana,MX,18.7333,-103.6833,82.92,69,86,4.97,overcast clouds
412,Ballina,AU,-28.8667,153.5667,78.78,56,0,5.93,clear sky
413,Xiaoshi,CN,41.2971,124.1209,32.68,76,23,2.75,few clouds
414,Waipawa,NZ,-41.4122,175.5153,67.44,55,0,8.08,clear sky
415,Flinders,AU,-34.5833,150.8552,70.38,69,10,3.0,clear sky
416,Inhambane,MZ,-23.865,35.3833,73.71,69,95,14.72,overcast clouds
417,Mazara Del Vallo,IT,37.6641,12.588,60.93,71,10,3.98,clear sky
418,Algeciras,ES,36.1333,-5.4505,64.08,77,40,5.75,scattered clouds
419,Anadyr,RU,64.75,177.4833,28.9,80,0,15.66,clear sky
420,Ngunguru,NZ,-35.6167,174.5,62.15,91,66,15.26,broken clouds
421,Port Blair,IN,11.6667,92.75,79.86,83,100,8.72,overcast clouds
422,Kaitangata,NZ,-46.2817,169.8464,67.37,55,90,5.55,overcast clouds
423,Gamba,GA,-2.65,10.0,75.6,87,99,6.24,overcast clouds
